Frame,Result,H,S,C,I,Boost,SPHY,Accepted,Sig,TS
2,111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9916,0.986,0.9,0.0056,1.2119,90.8484,✅,8c655888ddedffab,2026-01-18T22:27:01.828297
3,000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000,0.9724,0.9566,0.9,0.0158,1.2342,90.8639,✅,2eadcaa1c69834bf,2026-01-18T22:27:01.828164
1,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111,0.9688,0.9836,0.9,0.0149,1.2146,90.8502,✅,c9f509ddf8b7be2b,2026-01-18T22:27:01.828131
4,011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9881,0.9696,0.9,0.0185,1.2168,90.8518,✅,dd04110ebbc779fc,2026-01-18T22:27:01.831157
6,000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9939,0.9666,0.9,0.0273,1.2233,90.8563,✅,6e03477b0354ad9a,2026-01-18T22:27:01.848072
5,000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9721,0.9695,0.9,0.0027,1.2051,90.8436,✅,2453cee21f3e23bd,2026-01-18T22:27:01.847630
8,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111,0.9597,0.9606,0.9,0.001,1.1897,90.8328,✅,9d0e44ff0279547e,2026-01-18T22:27:01.851973
7,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111,0.9774,0.9783,0.9,0.0009,1.1781,90.8247,✅,ed16cbdbd32a2b9d,2026-01-18T22:27:01.850679
9,111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9723,0.9561,0.9,0.0162,1.2178,90.8524,✅,545dbb58d584fd1c,2026-01-18T22:27:01.858982
10,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111,0.9693,0.9739,0.9,0.0046,1.1719,90.8203,✅,e6b0aa476c46d8af,2026-01-18T22:27:01.860439
11,000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000,0.9833,0.9674,0.9,0.0159,1.2061,90.8443,✅,c6825258df612038,2026-01-18T22:27:01.862659
12,111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9705,0.9871,0.9,0.0165,1.1887,90.8321,✅,db9e67f80d661dc3,2026-01-18T22:27:01.863470
